Question,Answer
"Wahed, zouj, tlata, rabâ, khamssa.","Bonsoir. Euh… Pas de messages ? Messages ? Bien, je… Je monte dans ma chambre."
[Arabe],"Plantieux, que c'est bon de te voir !"
Ça fait combien de temps ?,Trop longtemps.
"Et comme je dis toujours, quand c'est long, c'est trop long. Toujours glace ?",Toujours glace. C'est drôle.
À notre empire colonial !,À notre empire colonial !
"L'agitation ici, en Algérie, au Maroc, en Tunisie, la défaite de Dien Bien Phu… Mais crois-moi, Hubert, la France va vite reprendre le dessus et gardera ses colonies.","Inch Allah, Plantieux."
T'en es où ?,"J'en suis nulle part. J'ai fouillé la SCEP, je n'ai rien trouvé. Si ce n'est des documents sur l'élevage de poulets."
Mais quel est ton sentiment ?,"J'ai refait les comptes, c'est pas brillant-brillant. Mais il y a du potentiel. Rends-toi compte, Plantieux. Il y a deux ans, notre concurrent, la SBEP, avait 85% du marché local. Depuis, nous sommes passés devant."
"En fait, euh… Je voudrais avoir son sentiment sur la mort de Jefferson.","Ah, Jack… Ah oui, bien sûr. Non, je… Je ne sais toujours pas qui a fait ça. Et crois-moi que si je le savais…"
"Merci. Qu'est-ce que c'est ? C'est l'écriture de Jack. Kapov, c'est le nom d'un navire russe qui a disparu il y a un mois, alors s'il a écrit ça, c'est que c'est important. Voilà un indice.","Décidément, je suis abonné aux pochettes d'allumettes. Celle-ci, je l'ai trouvé sur mon jeteur de poule. Elle m'a amenée directement chez les… Chez les… Les Aigles de…"
De Khéops ?,Oui !
"Encore un indice. Beau boulot. Chapeau, Hubert.","Oui, je me suis retrouvé au milieu d'une foule qui appelait à la révolution. Maintenant qu'ils vont avoir des armes…"
Les Aigles de Khéops vont avoir des armes ?,Oui.
"C'est extrêmement inquiétant. Tu vas tout de suite prévenir le gouvernement égyptien, moi je m'occupe de Paris. Très bon boulot. Intuition, discrétion, déduction, tu pur OSS 117.",C'est… Il faut juste réfléchir et ne pas s'éparpiller.
"Essaie aussi de faire parler ce russe, Setine. Tu le trouveras au hammam Suleyman Pacha, il y est tout le temps fourré.","Hmm, d'accord."
"Passez-moi Paris, code rouge.",Je vais y aller.
Le gouvernement.,"Le gouvernement. D'Égypte. Ce… ça… Hé ben j'y vais. Au revoir, Plantieux. Code rouge."
"Vous avez bien fait de me prévenir, monsieur Bonisseur de la Bath, et je vous en remercie. Nous allons agir sur-le-champ.",Cela m'a paru tout naturel.
Ces Aigles de Khéops sont prêts à nous faire replonger en plein Moyen-Âge. L'accident regrettable et impardonnable d'hier matin avec le muezzin a dû mettre le feu aux poudres.,"Ah oui ? C'est joli, ces fontaines, là. J'aime le bruit blanc de l'eau."
"La première bouffée est pour vous, sidi Bonisseur de la Bath. Le kif apaise, détend, et permet d'avoir des conversations agréables et constructives. C'est une vieille tradition orientale.","Et bien dans ce cas, c'est avec plaisir que je me remets à fumer. Allah y'rhem al'walladin."
"Il est extrêmement flatteur de voir un homme de votre envergure pratiquer avec tant d'aisance notre langue. Ce n'est donc pas avec un hôte mais avec un ami que je vais partager ce narguilé. Le développement de notre pays, l'ère de modernité qui s'ouvre à nous font bien des envieux, bien des aigris. Il n'y a pas que les Aigles de Khéops, il y a aussi cette famille royale dégénérée. Elle n'a jamais accepté que l'incapable et dévoyé Farouk soit destitué.","La famille royale est peut-être dégénérée, mais je peux vous assurer que la princesse Al Tarouk vaut le détour. Et je peux vous dire que quand elle s'affaire, elle laisse son sang royal au vestiaire. Et elle gueule, mon vieux. On dirait une poissonnière de Ménilmontant ! Sinon… Sinon, pour revenir à ce que vous disiez sur la situation de l'Égypte. Développement, modernité, moi je veux bien, mais enfin… S'il y avait pas les Occidentaux…"
Plaît-il ?,"Bah rien que le canal, plaît-il. S'il y avait pas les français et les englishs pour le tenir, quand on voit le bazar que c'est dans la rue… Moi je vous dis ça en toute amitié. On est en 1955, les gars, faut se réveiller. Les ânes partout, les djellabas, l'écriture illisible… Pouah… Hmm ? Il s'agirait de grandir. Il s'agirait de grandir… Moi je suis dans le poulet. Et ben je vois rien qu'au niveau du poulet, c'est un bordel… On n'a jamais les bons papiers…"
Ce n'est que parce que nos deux pays sont amis que je ne vous envoie pas croupir au fond d'une geôle.,Qu'est-ce qu'il y a ? Qu'est-ce que j'ai dit ? Faux cul.
"Vous avez fait très bien de venir me voir ici, monsieur Bramard. D'autant que vous avez la peau sèche.",Ah bon ?
Oui. Je vous conseille d'hydrater. D'hydrater et de bien faire pénétrer.,Hmm… C'est délicieux… Hmm… J'aime quand on m'enduit d'huile.
"Vous aviez quelque chose à me dire, Lucien ?",Oui. Kapov. Ça vous dit quelque chose ?
"Kapov ? Je me demande si ce n'est pas ce navire de mon ays qui a disparu il y a un mois. Monsieur Bramard, je vous confie à des mains expertes. Les meilleures du hammam Suleyman Pacha. Les meilleures de tout l'Orient. Khalid. C'est le grand. L'autre, c'est Lokhtar. Khalid allie différentes méthodes traditionnelles du massage. Le shiatsu pour un travail sur les centres nerveux et le thaï pour les étirements.","Ah oui, c'est… C'est étonnant."
Khalid est un maître. Un maalemn comme on dit ici.,C'est tonique.
Voulez-vous que ce massage se prolonge un peu ou vous avez quelque chose à me dire ?,Quelque chose à vous dire sur quoi ?
Sur votre associé Jefferson.,Jack est en rendez-vous à l'extérieur.
"Assez joué, Bramard. Vous n'êtes pas plus éleveur de poulets que je suis éleveur de moutons. Kapov. Navire propriété du peuple de l'Union Soviétique, disparaît avec sa cargaison d'armes. Le lendemain, Jefferson disparaît à son tour. Étrange, non ?","Ma seule préoccupation, Setine, est de développer mon activité poulets."
"Drainage lymphatique. L'autre soir, à l'ambassade de ces fichus anglais, vous aviez une pochette avec Kapov écrit dessus. Bizarre non ?",Mon ambition est d'attaquer le marché syrien et jordanien.
"Ça suffit, Bramard. Ou plutôt devrais-je dire OSS 117. Où est le Kapov, où sont ses armes et où est Jefferson ? Trois questions.","Une réponse. Deux réponses. Et trois réponses. En tout cas, on peut dire que le soviet éponge."
Guten Abend.,"Ah. Bonsoir, Moeller."
"Montez donc, Herr Bramard. Comment va notre ami Setine ?","Bien, sans plus. Que voulez-vous Moeller ?"
Nous avions parlé d'une expédition aux pyramides. Vous en êtes toujours ?,"Oui, avec plaisir."
Demain ?,Demain.
Bien. Voulez-vous que je vous conduise à votre hôtel ?,"Si vous passez par la SCEP, j'aime autant. J'ai encore un petit peu de travail."
"Herr Bramard, que sommes-nous, petits éleveurs d'animaux, face à ces chefs-d'œuvre qui ont traversé les millénaires ?","Ma foi je ne sais pas du tout, là. Rien, non ?"
"C'est affreux ce qui est arrivé à notre ami Setine. On raconte des choses folles sur lui. On dit qu'il avait des mœurs pour le moins équivoques. En particulier dans ce hammam où vous l'avez rencontré. Vous le saviez, ça ?","Non, je l'ignorais."
"Ah, c'est étrange. Pourtant, on dit que vous et lui…","Oui, bon, mais moi je l'ignorais ! Et je préfère, d'ailleurs. Pour moi, un homme doit aller avec une femme. Le reste, c'est de la perversion, de la maladie mentale. N'en parlons plus."
"Herr Bramard, vous allez voir, c'est très impressionnant. Venez.","Cette intimité soudaine me convient très bien. J'avais deux-trois questions à vous poser. Que savez-vous du Kapov et qu'est-il arrivé à Jefferson, Moeller ?"
"Vous me décevez, Herr Bramard. Moi qui pensais que vous vous intéressiez aux pyramides.",Et bien non. Je m'en moque comme d'une guigne.
Vous avez tort. C'est à l'intérieur qu'elles dévoilent toutes les richesses.,"Où m'emmenez-vous, Moeller ?"
"Ne vous inquiétez pas, Herr Bramard.","Grands dieux, mais qu'est-ce que…"
Heil Hitler ! Heil Hitler ! Heil Hitler !,"Qu'est-ce que c'est que cette mascarade, Moeller ?"
"Colonel Moeller, officier de la Wehrmacht. Bienvenue chez nous, OSS 117. Ça fait longtemps que j'attends ce moment. Depuis dix ans, exactement. Depuis ce jour où vous avez assassiné mon ami, le colonel Von Umsbrank.",Von ?
Umsbrank. Le colonel Herman von Umsbrank. Un Waffen-SS.,Je ne vois pas.
Mais si. Un grand brun.,"Je vais vous avouer une chose, Moeller. J'ai tué tellement de nazis que je n'ai vraiment pas eu le temps de compter. En revanche, j'y ai pris toujours beaucoup de plaisir."
Herman… Il n'y a pas un jour où je ne pense à lui depuis que vous l'avez balancé au-dessus de Berlin.,"Ah, c'est lui ? Il avait les plans du V2."
Voilà.,"Ah oui d'accord, je vois très bien. Absolument. Oui, oui. Oui, on lui a pris les plans et on les a donnés aux Américains."
Voilà.,"C'est ça, absolument. Un grand brun."
Voilà !,Sympathique.
"Exactement ! Herman Von Umsbank, mon ami.","Oui oui, Herman, absolument. Belle mission, d'ailleurs."
Oui.,"Belle mission, oui… Mon Dieu, mais alors c'est vous qui avez tué Jefferson pour me…"
Tais-toi Lokhtar.,Toi ?
